Nome,CNPJ,Emissão,Série,Valor,Ticker,Ano
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,1.0,470.0,14455221.81,AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,215.0,1.0,13996707.35,AFHI11,2024
REIT SECURITIZADORA S.A.,13.349.677/0001-81,2.0,22.0,13655551.43,AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,86.0,1.0,13508894.05,AFHI11,2024
BARI SECURITIZADORA S.A.,10.608.405/0001-60,27.0,3.0,12941982.09,AFHI11,2024
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,65.0,2.0,12700020.94,AFHI11,2024
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4.0,317.0,10937666.24,AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,24.0,3.0,10521087.96,AFHI11,2024
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4.0,279.0,9960706.1,AFHI11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,256.0,1.0,9831377.11,AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,163.0,1.0,9784915.62,AFHI11,2024
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4.0,316.0,9772910.77,AFHI11,2024
BARI SECURITIZADORA S.A.,10.608.405/0001-60,33.0,1.0,9749534.53,AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,1.0,478.0,9258013.12,AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,39.0,4.0,9179215.0,AFHI11,2024
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4.0,277.0,8343366.54,AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,1.0,371.0,8308362.33,AFHI11,2024
BARI SECURITIZADORA S.A.,10.608.405/0001-60,27.0,1.0,7238202.09,AFHI11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,157.0,1.0,7096594.16,AFHI11,2024
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4.0,238.0,6939311.84,AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,65.0,3.0,6170794.89,AFHI11,2024
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,46.0,1.0,6093890.08,AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,84.0,1.0,5962590.08,AFHI11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1.0,484.0,5678846.37,AFHI11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,178.0,1.0,5628652.99,AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,38.0,1.0,5522376.52,AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,85.0,1.0,5211492.12,AFHI11,2024
COMPANHIA PROVINCIA DE SECURITIZACAO,04.200.649/0001-07,60.0,1.0,4991822.13,AFHI11,2024
COMPANHIA PROVINCIA DE SECURITIZACAO,04.200.649/0001-07,40.0,1.0,4936967.58,AFHI11,2024
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,55.0,1.0,4731637.06,AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,290.0,2.0,4576704.36,AFHI11,2024
CANAL COMPANHIA DE SECURITIZACAO,41.811.375/0001-19,43.0,1.0,4506422.82,AFHI11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,22.0,1.0,4469477.79,AFHI11,2024
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,27.0,1.0,4317223.94,AFHI11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,24.0,3.0,4229889.1,AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,1.0,216.0,3715205.07,AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,1.0,296.0,3712760.77,AFHI11,2024
COMPANHIA PROVINCIA DE SECURITIZACAO,04.200.649/0001-07,20.0,1.0,3623862.38,AFHI11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,151.0,1.0,3479386.42,AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,109.0,1.0,3415318.51,AFHI11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1.0,432.0,2838007.75,AFHI11,2024
VIRGO COMPANHIA DE SECURITIZACAO,08.769.451/0001-08,4.0,219.0,2642040.2,AFHI11,2024
TRUE SECURITIZADORA S.A.,12.130.744/0001-00,1.0,431.0,2270406.2,AFHI11,2024
OPEA SECURITIZADORA S.A.,02.773.542/0001-22,200.0,1.0,1981076.93,AFHI11,2024
VERT COMPANHIA SECURITIZADORA,25.005.683/0001-09,27.0,1.0,1970644.43,AFHI11,2024
