Nome,Área,Endereço,Núm. unidades,Vacância,Inadimplência,Share sobre receita,Ticker,Ano,Área (m²)
APTIV Espirito Santo do Pinhal,"18.591,00 m2","Rod. Dr. Gov. Ademar Pereira De Barros, Km 195, 195, , , Espirito Santo Do Pinhal/SP, Brasil, 13990-000",1.0,0.0,0.0,0.036699999999999997,ALZR11,2024,18591.0
Decatlhon - Morumbi,"28.500,00 m2","Avenida Duquesa De Goias, 381, Sem Complemento, Real Parque, Sao Paulo/SP, Brasil, 05686-001",1.0,0.0,0.0,0.0318,ALZR11,2024,28500.0
Imovel Globo - Jardim Botanico,"3.815,52 m2","Rua Pacheco Leao, 70, Sem Complemento, Jardim Botanico, Rio De Janeiro/RJ, Brasil, 22460-030",1.0,0.0,0.0,0.030899999999999997,ALZR11,2024,3815.52
Dasa - Ascendino Reis,"2.283,66 m2","Avenida Professor Ascendino Reis, 549, Sem Complemento, Vila Clementino, Sao Paulo/SP, Brasil, 04027-000",1.0,0.0,0.0,0.0174,ALZR11,2024,2283.66
BRF Bauru,"3.627,00 m2","Avenida Nacoes Unidas, 51, 51 - 15, Jardim Godoy, Bauru/SP, Brasil, 17021-365",1.0,0.0,0.0,0.015700000000000002,ALZR11,2024,3627.0
BRF Guarulhos,"3.459,00 m2","Rua Barao De Penedo, 435, Sem Complemento, Cidade Industrial Satelite De Sao Paulo, Guarulhos/SP, Brasil, 07222-015",1.0,0.0,0.0,0.013999999999999999,ALZR11,2024,3459.0
OBA Hortifruti - SBC,"4.428,00 m2","Avenida Francisco Prestes Maia, 1497, Sem Complemento, Centro, São Bernardo Do Campo/SP, Brasil, 09770-000",1.0,0.0,0.0,0.0,ALZR11,2024,4428.0
OBA Hortifruti - SJRP,"2.722,00 m2","Avenida Presidente Juscelino Kubitschek De Oliveira, 3530, Sem Complemento, Jardim Moysés Miguel Haddad, São José Do Rio Preto/SP, Brasil, 15093-215",1.0,0.0,0.0,0.0,ALZR11,2024,2722.0
OBA Hortifruti - CD Sumare,"33.795,13 m2","Avenida Americo Ribeiro Dos Santos, 385, Sem Complemento, Parque Bandeirantes I (nova Veneza), Sumaré/SP, Brasil, 13181-715",1.0,0.0,0.0,0.0,ALZR11,2024,33795.13
Ed. Araporé - Jd Guedala,"0,00 m2","Rua Ministro Godoi, 1697, Sem Complemento, Perdizes, Sao Paulo/SP, Brasil, 05015-001",1.0,1.0,0.0,0.0,ALZR11,2024,0.0
Femsa - Santo Andre,"36.740,00 m2","Avenida Dos Estados, S/n, Sem Complemento, Vila Metalurgica, Santo Andre/SP, Brasil, 09220-570",1.0,0.0,0.0,0.09380000000000001,ALZR11,2023,36740.0
Pueri Domus - Perdizes,"8.016,00 m2","Rua Ministro Godoi, 1697, Sem Complemento, Perdizes, Sao Paulo/SP, Brasil, 05015-001",1.0,0.0,0.0,0.0802,ALZR11,2023,8016.0
Atento - Del Castilho,"8.178,00 m2","Avenida Dom Helder Camara, 3.203, Sem Complemento, Del Castilho, Rio De Janeiro/RJ, Brasil, 21050-624",1.0,0.0,0.0,0.062,ALZR11,2023,8178.0
Bauducco - Guarulhos,"11.832,59 m2","Rua Fritz Reimann, 500, Sem Complemento, Vila Sao Joao, Guarulhos/SP, Brasil, 07044-020",1.0,0.0,0.0,0.0559,ALZR11,2023,11832.59
Dasa - Sumare,"5.227,43 m2","Avenida Sumare, 1500, Sem Complemento, Perdizes, Sao Paulo/SP, Brasil, 05016-110",1.0,0.0,0.0,0.0512,ALZR11,2023,5227.43
Air Liquide - Vila Carioca,"5.008,00 m2","Avenida Carioca, 798, Antigo Numero 70, Lote 30, Vila Carioca, Sao Paulo/SP, Brasil, 04225-002",1.0,0.0,0.0,0.048799999999999996,ALZR11,2023,5008.0
Ed. Moderna/Santillana - Belenzinho,"9.260,00 m2","Rua Padre Adelino, 758, Sem Complemento, Quarta Parada, Sao Paulo/SP, Brasil, 03303-000",1.0,0.0,0.0,0.0487,ALZR11,2023,9260.0
APTIV - Espirito Santo do Pinhal,"18.591,00 m2","Rod. Dr. Gov. Ademar Pereira De Barros, Km 195, 195, , , Espirito Santo Do Pinhal/SP, Brasil, 13990-000",1.0,0.0,0.0,0.039599999999999996,ALZR11,2023,18591.0
Decatlhon - Morumbi,"28.500,00 m2","Avenida Duquesa De Goias, 381, Sem Complemento, Real Parque, Sao Paulo/SP, Brasil, 05686-001",1.0,0.0,0.0,0.0352,ALZR11,2023,28500.0
Globo - Jardim Botanico,"3.815,52 m2","Rua Pacheco Leao, 70, Sem Complemento, Jardim Botanico, Rio De Janeiro/RJ, Brasil, 22460-030",1.0,0.0,0.0,0.0333,ALZR11,2023,3815.52
Dasa - Ascendino Reis,"2.283,66 m2","Avenida Professor Ascendino Reis, 549, Sem Complemento, Vila Clementino, Sao Paulo/SP, Brasil, 04027-000",1.0,0.0,0.0,0.0191,ALZR11,2023,2283.66
BRF - Bauru,"3.627,00 m2","Avenida Nacoes Unidas, 51, 51 - 15, Jardim Godoy, Bauru/SP, Brasil, 17021-365",1.0,0.0,0.0,0.0177,ALZR11,2023,3627.0
BRF - Guarulhos,"3.459,00 m2","Rua Barao De Penedo, 435, Sem Complemento, Cidade Industrial Satelite De Sao Paulo, Guarulhos/SP, Brasil, 07222-015",1.0,0.0,0.0,0.0158,ALZR11,2023,3459.0
Ed. Araporé - Jd Guedala,"4.517,00 m2","Rua Arapore, 655, Sem Complemento, Jardim Guedala, Sao Paulo/SP, Brasil, 05608-001",1.0,1.0,0.0,0.0,ALZR11,2023,4517.0
Empreendimento Atento Del Castilho,"8.178,00 m2","Avenida Dom Hélder Câmara, 3.203 e 3.229, Del Castilho, Rio De Janeiro/RJ, Brasil, 21050-624",1.0,0.0,0.0,0.0789,ALZR11,2022,8178.0
Empreendimento Pandurata-Bauducco,"11.832,59 m2","Rua Fritz Reiman, 628, Itapegica, Guarulhos, SP, 02236-040",1.0,0.0,0.0,0.0722,ALZR11,2022,11832.59
Dasa - Sumaré,"5.227,43 m2","Avenida Sumaré, 1500, Perdizes, Sao Paulo/SP, Brasil, 05016-110",1.0,0.0,0.0,0.06509999999999999,ALZR11,2022,5227.43
Galpão Air Liquide,"5.008,00 m2","Av. Presidente Wilson s/n.º 6000, São Paulo, SP, 03107-002",1.0,0.0,0.0,0.062,ALZR11,2022,5008.0
Empreendimento Ed. Moderna,"9.260,00 m2","Rua Padre Adelino, 758, Quarta Parada, São Paulo/SP, Brasil, 03303-000",1.0,0.0,0.0,0.061900000000000004,ALZR11,2022,9260.0
APTIV Espirito Santo do Pinhal,"18.591,00 m2","Rua José Monfardini 3845, Lote A, Espírito Santo do Pinhal, SP, 13990-000",1.0,0.0,0.0,0.0504,ALZR11,2022,18591.0
Imóvel Decatlhon - Morumbi,"28.500,00 m2","Avenida Duquesa De Goias, 381, Real Parque, Sao Paulo/SP, Brasil, 05686-001",1.0,0.0,0.0,0.0435,ALZR11,2022,28500.0
Imóvel Globo - Jardim Botânico,"3.815,52 m2","Rua Pacheco Leao, 70, Jardim Botânico, Rio De Janeiro/RJ, Brasil, 22460-030",1.0,0.0,0.0,0.042300000000000004,ALZR11,2022,3815.52
Empreendimento Momentum,"4.517,00 m2","Rua Arapore, 655, Jardim Guedala, São Paulo/SP, Brasil, 05608-001",1.0,0.0,0.0,0.026000000000000002,ALZR11,2022,4517.0
Dasa - Ascendino Reis,"2.283,66 m2","Avenida Professor Ascendino Reis, 545, Vila Clementino, Sao Paulo/SP, Brasil, 04027-000",1.0,0.0,0.0,0.024300000000000002,ALZR11,2022,2283.66
Galpão BRF Bauru,"3.627,00 m2","Avenida Nações Unidas, 51 - 15, Jardim Godoy, Bauru/SP, Brasil, 17021-365",1.0,0.0,0.0,0.022799999999999997,ALZR11,2022,3627.0
Galpão BRF Guarulhos,"3.459,00 m2","Rua Barão De Penedo, 238, P1, P13 e P14, Guarulhos/SP, Brasil, 07222-015",1.0,0.0,0.0,0.0204,ALZR11,2022,3459.0
Galpão FEMSA,"86.255,08 m2","Avenida dos Estados, S/N, Vila Metalúrgica, na Cidade de Santo André, São Paulo, 09220-570",1.0,0.0,0.0,0.0143,ALZR11,2022,86255.08
Imovél Clariant - Nações Unidas,"29.463,00 m2","Avenida das Nações Unidas, 18001, Santo Amaro, Sao Paulo/SP, Brasil, 04795-900",1.0,0.0,0.0,0.19,ALZR11,2021,29463.0
Empreendimento Atento Del Castilho,"8.178,00 m2","Avenida Dom Hélder Câmara, 3.203 e 3.229, Del Castilho, Rio De Janeiro/RJ, Brasil, 21050-624",1.0,0.0,0.0,0.0806,ALZR11,2021,8178.0
Empreendimento Pandurata-Bauducco,"11.832,59 m2","Rua Fritz Reiman, 628, Itapegica, Guarulhos, SP, 02236-040",1.0,0.0,0.0,0.0729,ALZR11,2021,11832.59
Dasa - Sumaré,"5.227,43 m2","Avenida Sumaré, 1500, Perdizes, Sao Paulo/SP, Brasil, 05016-110",1.0,0.0,0.0,0.0675,ALZR11,2021,5227.43
Empreendimento Ed. Moderna,"9.260,00 m2","Rua Padre Adelino, 758, Quarta Parada, São Paulo/SP, Brasil, 03303-000",1.0,0.0,0.0,0.0642,ALZR11,2021,9260.0
Galpão Air Liquide,"5.008,00 m2","Av. Presidente Wilson s/n.º 6000, São Paulo, SP, 03107-002",1.0,0.0,0.0,0.0636,ALZR11,2021,5008.0
Galpão APTIV,"18.591,00 m2","RRua Jose Monfardini 3845, Lote A, Espírito Santo do Pinhal, SP, 13990-000",1.0,0.0,0.0,0.051500000000000004,ALZR11,2021,18591.0
Imóvel Decatlhon - Morumbi,"28.500,00 m2","Avenida Duquesa de Goiás, 381, Real Parque, São Paulo/SP, Brasil, 05686-001",1.0,0.0,0.0,0.0446,ALZR11,2021,28500.0
Imóvel Globo - Jardim Botanico,"3.815,52 m2","Rua Pacheco Leao, 70, Jardim Botânico, Rio De Janeiro/RJ, Brasil, 22460-030",1.0,0.0,0.0,0.0434,ALZR11,2021,3815.52
Empreendimento Momentum,"4.517,00 m2","Rua Arapore, 655, Jardim Guedala, São Paulo/SP, Brasil, 05608-001",1.0,0.0,0.0,0.0274,ALZR11,2021,4517.0
Dasa - Ascendino Reis,"2.283,66 m2","Avenida Professor Ascendino Reis, 545, Vila Clementino, Sao Paulo/SP, Brasil, 04027-000",1.0,0.0,0.0,0.0252,ALZR11,2021,2283.66
Galpão BRF Bauru,"3.627,00 m2","Avenida Nações Unidas, 51 - 15, Jardim Godoy, Bauru/SP, Brasil, 17021-365",1.0,0.0,0.0,0.023399999999999997,ALZR11,2021,3627.0
Galpão BRF Guarulhos,"3.459,00 m2","Rua Barão De Penedo, 238, P1, P13 e P14, Guarulhos/SP, Brasil, 07222-015",1.0,0.0,0.0,0.0209,ALZR11,2021,3459.0
Empreendimento Atento Del Castilho,"8.178,00 m2","Avenida Dom Hélder Câmara 3.203 e 3.229 , Rio de Janeiro, RJ, 20973-011",1.0,0.0,0.0,0.2107,ALZR11,2020,8178.0
Galpão Air Liquide,"5.008,00 m2","Av. Presidente Wilson s/n.º 6000, São Paulo, SP, 03107-002",1.0,0.0,0.0,0.1674,ALZR11,2020,5008.0
Empreendimento Ed. Moderna,"9.260,00 m2","Rua Padre Adelino 758, São Paulo, SP, 03303-000",1.0,0.0,0.0,0.16449999999999998,ALZR11,2020,9260.0
Galpão Aptiv,"18.590,77 m2","Rua Jose Monfardini 3845, Lote A, Espírito Santo do Pinhal, SP, 13990-000",1.0,0.0,0.0,0.1346,ALZR11,2020,18590.77
Empreendimento Momentum,"4.517,00 m2","Rua Arapore 655, , São Paulo, SP, 05608-001",1.0,0.0,0.0,0.0682,ALZR11,2020,4517.0
Galpão BRU,"3.627,49 m2","Avenida Nações Unidas 51-15, Bauru, SP, 17033-260",1.0,0.0,0.0,0.0591,ALZR11,2020,3627.49
Galpão GRU,"3.763,42 m2","Rua Barão de Penedo 248, P1, P13 e P14, Guarulhos, SP, 07222-015",1.0,0.0,0.0,0.0527,ALZR11,2020,3763.42
