Ticker,Trimestre,Lucro líquido,Outras desp/receitas,Res. imóveis estoque,Res. imóveis renda,Resultado TVM,Resultado financeiro
ALMI11,4T2022,-25.930,-695,0,-25.325,0,90
ALMI11,4T2023,13.151,-1.057,0,14.024,0,185
ALZR11,1T2018,1.589,-319,0,1.453,0,455
ALZR11,1T2019,1.972,-299,0,2.248,0,22
ALZR11,1T2020,5.082,-501,0,5.281,0,302
ALZR11,1T2021,7.390,-1.565,0,8.138,666,150
ALZR11,1T2022,13.153,-1.755,0,11.747,2.345,816
ALZR11,1T2023,10.565,-2.401,0,7.515,4.036,1.415
ALZR11,1T2024,21.406,-3.069,0,13.879,6.400,4.196
ALZR11,2T2018,3.899,-314,0,4.190,0,22
ALZR11,2T2019,6.732,-315,0,6.190,0,856
ALZR11,2T2020,13.842,-469,0,14.067,0,243
ALZR11,2T2021,29.319,-1.806,0,30.264,792,69
ALZR11,2T2022,-7.596,-1.972,0,-7.546,1.267,655
ALZR11,2T2024,28.254,-3.469,0,21.356,5.302,5.064
ALZR11,3T2018,1.925,-297,0,2.196,0,26
ALZR11,3T2019,3.948,-486,0,2.738,0,1.696
ALZR11,3T2020,4.824,-573,0,5.076,0,321
ALZR11,3T2021,10.745,-1.895,0,11.047,823,771
ALZR11,3T2022,46.188,-1.999,0,42.754,3.033,2.400
ALZR11,3T2023,20.493,-3.119,0,14.029,1.500,8.083
ALZR11,4T2018,1.943,-273,0,2.196,0,20
ALZR11,4T2019,4.867,-476,0,4.552,0,791
ALZR11,4T2020,5.127,-624,0,5.102,0,648
ALZR11,4T2021,11.758,-2.709,0,11.126,1.888,1.453
ALZR11,4T2022,15.195,-2.135,0,10.308,2.387,4.634
ALZR11,4T2023,18.958,-3.109,0,10.031,6.506,5.530
APTO11,1T2022,1.162,-437,0,331,1.066,203
APTO11,1T2024,583,-536,0,-145,1.193,71
APTO11,2T2023,3.244,-625,0,2.345,1.399,124
APTO11,2T2024,1.005,-555,0,341,1.121,98
APTO11,3T2021,-120,-128,0,-19,0,28
APTO11,3T2023,638,-579,0,328,743,145
APTO11,4T2021,-44,-633,0,48,349,193
APTO11,4T2023,1.090,-493,0,570,802,211
AROA11,1T2023,-397,-1.215,0,599,0,219
AROA11,1T2024,2.723,-348,0,3.030,0,41
AROA11,2T2022,0,0,0,0,0,0
AROA11,2T2023,1.940,19,0,1.859,0,62
AROA11,2T2024,4.208,-295,0,4.460,0,43
AROA11,3T2022,0,0,0,0,0,0
AROA11,3T2023,2.236,-349,0,2.543,0,41
AROA11,4T2022,0,0,0,0,0,0
AROA11,4T2023,3.832,415,0,3.374,0,43
ARRI11,1T2020,-842,-289,0,0,-790,237
ARRI11,1T2021,1.769,-202,0,0,1.972,-2
ARRI11,1T2022,4.844,-437,0,0,5.232,49
ARRI11,1T2023,4.411,-718,0,0,4.872,257
ARRI11,1T2024,2.284,-283,0,0,2.510,58
ARRI11,2T2020,1.121,-231,0,0,1.280,71
ARRI11,2T2021,1.219,-612,0,0,1.792,39
ARRI11,2T2024,2.235,-393,0,0,2.410,219
ARRI11,3T2020,276,-190,0,0,437,30
ARRI11,3T2021,1.204,-1.259,0,0,2.247,216
ARRI11,3T2022,2.959,-630,0,0,3.439,150
ARRI11,3T2023,3.069,-699,0,0,3.682,86
ARRI11,4T2020,2.011,-199,0,0,2.198,12
