Ticker,Trimestre,% despesas,% em caixa,Div. Yield,Inadimplência,Negócios/dia,P/VP,Patrimônio,Qnt. cotas,Qnt. cotistas,VP por cota,Vacância,Valor merc.,Volume diário
ABCP11,4T2018,"0,03%","0,92%","9,05%",10%,517,"1,16","907,48 M","61,0 M",17.370,"14,87",1%,"1,06 B","395,08 K"
ABCP11,4T2019,"0,03%","1,18%","7,42%",1%,298,"1,29","1,04 B","12,2 M",21.804,"85,32",1%,"1,34 B","321,98 K"
ABCP11,4T2020,"0,06%","1,17%","5,78%",12%,322,"0,84","1,08 B","12,2 M",20.655,"88,23",2%,"908,94 M","243,53 K"
ABCP11,4T2021,"0,05%","1,57%","8,86%",5%,233,"0,76","1,12 B","12,2 M",19.203,"92,00",8%,"854,15 M","89,50 K"
ABCP11,4T2022,"3,53%","1,92%","10,16%",2%,210,"0,78","430,85 M","4,7 M",19.484,"91,49",3%,"335,15 M","81,10 K"
ABCP11,4T2023,"0,09%","1,63%","9,82%",3%,129,"0,69","478,01 M","4,7 M",17.205,"101,51",2%,"328,74 M","54,86 K"
AFHI11,1T2021,"0,08%","48,42%","0,00%",0%,0,"0,00","171,70 M","1,8 M",3.172,"96,05",0%,"0,00","0,00"
AFHI11,1T2022,"0,00%","0,00%","0,00%",0%,1.156,"0,00","0,00","0,0",0,"0,00",0%,"0,00","808,54 K"
AFHI11,1T2023,"0,27%","7,78%","9,24%",0%,1.447,"0,98","286,65 M","3,0 M",19.089,"94,93",0%,"279,81 M","698,56 K"
AFHI11,1T2024,"0,26%","8,02%","13,37%",0%,2.151,"1,02","385,44 M","4,0 M",32.625,"96,43",0%,"391,42 M","1,21 M"
AFHI11,2T2021,"0,00%","0,00%","0,00%",0%,526,"0,00","0,00","0,0",0,"0,00",0%,"0,00","527,39 K"
AFHI11,2T2022,"0,00%","0,00%","0,00%",0%,818,"0,00","0,00","0,0",0,"0,00",0%,"0,00","988,68 K"
AFHI11,2T2023,"0,28%","1,58%","12,45%",0%,1.269,"1,01","290,39 M","3,0 M",21.027,"96,17",0%,"292,89 M","802,49 K"
AFHI11,2T2024,"0,25%","10,74%","12,58%",0%,2.591,"1,03","430,22 M","4,6 M",39.652,"94,44",0%,"444,27 M","1,54 M"
AFHI11,3T2021,"0,00%","0,00%","0,00%",0%,1.268,"0,00","0,00","0,0",0,"0,00",0%,"0,00","884,58 K"
AFHI11,3T2022,"0,00%","0,00%","1,51%",0%,899,"0,00","0,00","0,0",0,"0,00",0%,"0,00","765,36 K"
AFHI11,3T2023,"0,27%","13,54%","14,53%",0%,2.099,"1,01","317,87 M","3,3 M",25.035,"95,08",0%,"321,54 M","1,30 M"
AFHI11,4T2021,"0,00%","0,00%","0,00%",0%,1.523,"0,00","0,00","0,0",0,"0,00",0%,"0,00","839,67 K"
AFHI11,4T2022,"0,14%","2,16%","5,27%",0%,1.133,"1,00","286,77 M","3,0 M",18.301,"94,97",0%,"286,85 M","746,67 K"
AFHI11,4T2023,"0,28%","4,79%","13,71%",0%,2.015,"1,04","321,04 M","3,3 M",27.831,"96,03",0%,"334,31 M","1,14 M"
AGRX11,1T2023,"0,47%","100,25%","10,23%",0%,147,"1,05","66,27 M","6,4 M",3.148,"10,30",0%,"69,76 M","50,88 K"
AGRX11,1T2024,"0,30%","0,51%","18,36%",0%,1.247,"1,04","180,08 M","17,9 M",20.975,"10,06",0%,"188,16 M","505,00 K"
AGRX11,2T2022,"0,33%","61,03%","0,00%",0%,0,"0,00","34,50 M","3,4 M",66,"10,26",0%,"0,00","0,00"
