Nome,Área,Endereço,Núm. unidades,Vacância,Inadimplência,Share sobre receita,Ticker,Ano,Papel,Nome do fundo,CNPJ,Valor,Emissão,Série
Galpão FEMSA,"86.255,08 m2","Avenida dos Estados, S/N, Vila Metalúrgica, na Cidade de Santo André, São Paulo, 09220-570",1,"0,00%","0,00%","1,43%",ALZR11,2022,,,,,,
Imovél Clariant - Nações Unidas,"29.463,00 m2","Avenida das Nações Unidas, 18001, Santo Amaro, Sao Paulo/SP, Brasil, 04795-900",1,"0,00%","0,00%","19,00%",ALZR11,2021,,,,,,
Empreendimento Atento Del Castilho,"8.178,00 m2","Avenida Dom Hélder Câmara, 3.203 e 3.229, Del Castilho, Rio De Janeiro/RJ, Brasil, 21050-624",1,"0,00%","0,00%","8,06%",ALZR11,2021,,,,,,
Empreendimento Pandurata-Bauducco,"11.832,59 m2","Rua Fritz Reiman, 628, Itapegica, Guarulhos, SP, 02236-040",1,"0,00%","0,00%","7,29%",ALZR11,2021,,,,,,
Dasa - Sumaré,"5.227,43 m2","Avenida Sumaré, 1500, Perdizes, Sao Paulo/SP, Brasil, 05016-110",1,"0,00%","0,00%","6,75%",ALZR11,2021,,,,,,
Empreendimento Ed. Moderna,"9.260,00 m2","Rua Padre Adelino, 758, Quarta Parada, São Paulo/SP, Brasil, 03303-000",1,"0,00%","0,00%","6,42%",ALZR11,2021,,,,,,
Galpão Air Liquide,"5.008,00 m2","Av. Presidente Wilson s/n.º 6000, São Paulo, SP, 03107-002",1,"0,00%","0,00%","6,36%",ALZR11,2021,,,,,,
Galpão APTIV,"18.591,00 m2","RRua Jose Monfardini 3845, Lote A, Espírito Santo do Pinhal, SP, 13990-000",1,"0,00%","0,00%","5,15%",ALZR11,2021,,,,,,
Imóvel Decatlhon - Morumbi,"28.500,00 m2","Avenida Duquesa de Goiás, 381, Real Parque, São Paulo/SP, Brasil, 05686-001",1,"0,00%","0,00%","4,46%",ALZR11,2021,,,,,,
Imóvel Globo - Jardim Botanico,"3.815,52 m2","Rua Pacheco Leao, 70, Jardim Botânico, Rio De Janeiro/RJ, Brasil, 22460-030",1,"0,00%","0,00%","4,34%",ALZR11,2021,,,,,,
Empreendimento Momentum,"4.517,00 m2","Rua Arapore, 655, Jardim Guedala, São Paulo/SP, Brasil, 05608-001",1,"0,00%","0,00%","2,74%",ALZR11,2021,,,,,,
Dasa - Ascendino Reis,"2.283,66 m2","Avenida Professor Ascendino Reis, 545, Vila Clementino, Sao Paulo/SP, Brasil, 04027-000",1,"0,00%","0,00%","2,52%",ALZR11,2021,,,,,,
Galpão BRF Bauru,"3.627,00 m2","Avenida Nações Unidas, 51 - 15, Jardim Godoy, Bauru/SP, Brasil, 17021-365",1,"0,00%","0,00%","2,34%",ALZR11,2021,,,,,,
Galpão BRF Guarulhos,"3.459,00 m2","Rua Barão De Penedo, 238, P1, P13 e P14, Guarulhos/SP, Brasil, 07222-015",1,"0,00%","0,00%","2,09%",ALZR11,2021,,,,,,
Empreendimento Atento Del Castilho,"8.178,00 m2","Avenida Dom Hélder Câmara 3.203 e 3.229 , Rio de Janeiro, RJ, 20973-011",1,"0,00%","0,00%","21,07%",ALZR11,2020,,,,,,
Galpão Air Liquide,"5.008,00 m2","Av. Presidente Wilson s/n.º 6000, São Paulo, SP, 03107-002",1,"0,00%","0,00%","16,74%",ALZR11,2020,,,,,,
Empreendimento Ed. Moderna,"9.260,00 m2","Rua Padre Adelino 758, São Paulo, SP, 03303-000",1,"0,00%","0,00%","16,45%",ALZR11,2020,,,,,,
Galpão Aptiv,"18.590,77 m2","Rua Jose Monfardini 3845, Lote A, Espírito Santo do Pinhal, SP, 13990-000",1,"0,00%","0,00%","13,46%",ALZR11,2020,,,,,,
Empreendimento Momentum,"4.517,00 m2","Rua Arapore 655, , São Paulo, SP, 05608-001",1,"0,00%","0,00%","6,82%",ALZR11,2020,,,,,,
Galpão BRU,"3.627,49 m2","Avenida Nações Unidas 51-15, Bauru, SP, 17033-260",1,"0,00%","0,00%","5,91%",ALZR11,2020,,,,,,
Galpão GRU,"3.763,42 m2","Rua Barão de Penedo 248, P1, P13 e P14, Guarulhos, SP, 07222-015",1,"0,00%","0,00%","5,27%",ALZR11,2020,,,,,,
Clariant,"29.463,00 m2","Avenida das Nações Unidas, 18001 - São Paulo",1,"0,00%","0,00%","0,00%",ALZR11,2020,,,,,,
Decathlon,"8.792,14 m2","Avenida Duquesa de Goiás, 381 - Real Parque - São Paulo",1,"0,00%","0,00%","0,00%",ALZR11,2020,,,,,,
Globo,"3.815,52 m2","Rua Pacheco Leão, 70 - Jardim Botânico, Rio de Janeiro",1,"0,00%","0,00%","0,00%",ALZR11,2020,,,,,,
Galpão Atento Del Castilho,"8.178,00 m2","Avenida Dom Hélder Câmara 3.203 e 3.229, Rio de Janeiro, RJ, 20973-011",1,"0,00%","0,00%","27,95%",ALZR11,2019,,,,,,
Galpão Air Liquide,"5.008,00 m2","Av. Presidente Wilson s/n.º 6000, São Paulo, SP, 03107-002",1,"0,00%","0,00%","22,15%",ALZR11,2019,,,,,,
Galpão Aptiv,"18.590,77 m2","Rua Jose Monfardini 3845, Lote A, Espírito Santo do Pinhal, SP, 13990-000",1,"0,00%","0,00%","21,82%",ALZR11,2019,,,,,,
Galpão Momentum,"4.517,00 m2","Rua Arapore 655, São Paulo, SP, 05608-001",1,"0,00%","0,00%","9,13%",ALZR11,2019,,,,,,
Galpão BRU,"3.627,49 m2","Avenida Nações Unidas 51-15, Bauru, SP, 17033-260",1,"0,00%","0,00%","7,97%",ALZR11,2019,,,,,,
Galpão GRU,"3.763,42 m2","Rua Barão de Penedo 248, P1, P13 e P14, Guarulhos, SP, 07222-015",1,"0,00%","0,00%","7,11%",ALZR11,2019,,,,,,
Galpão Ed. Moderna,"9.260,00 m2","Rua Padre Adelino 758, São Paulo, SP, 03303-000",1,"0,00%","0,00%","3,88%",ALZR11,2019,,,,,,
Atento Rio de Janeiro/RJ,"8.178,00 m2","Avenida Dom Hélder Câmara 3.203 e 3.229, Rio de Janeiro, RJ",1,"0,00%","0,00%","55,76%",ALZR11,2018,,,,,,
Air Liquide São Paulo/SP,"5.008,00 m2","Av. Presidente Wilson 5.874 , São Paulo, SP",1,"0,00%","0,00%","44,24%",ALZR11,2018,,,,,,
Imovel Dialogo,"821,61 m2","Alameda Fernão Cardim, 70 – Jardim Paulista – Estado
de São Paulo",1,"0,00%","0,00%","0,00%",APTO11,2024,,,,,,
Imóvel Clarion,"77,42 m2","Rua Jerônimo da Veiga nº 248, no 28º Subdistrito Jardim Paulista, São Paulo - SP",1,"0,00%","0,00%","0,00%",APTO11,2024,,,,,,
Imóvel IT Home,"120,56 m2","Rua Leopoldo Couto de Magalhães Júnior nº1098 e Rua Lopes Neto nº390, 28º Subdistrito - Jardim Paulista, São Paulo - SP",1,"0,00%","0,00%","0,00%",APTO11,2024,,,,,,
Edição Jardins,"124,62 m2","Alameda Fernão Cardim, 70 e 72 – Jardim Paulista – Estado
de São Paulo",1,"0,00%","0,00%","0,00%",APTO11,2024,,,,,,
