Ticker,Periodo,Aluguéis,Ativo total,CRIs,Caixa,Disponibilidades,FIIs,Imóveis,Outros,Outros val. pagar,Passivo total,Patrimônio líquido,Rend. a distribuir,Renda fixa,Taxa administração,Taxa performance,Total investido,Títulos privados,Títulos públicos,Valores a receber,Venda de imóveis
ABCP11,11/2018,7.113,911.068,0,8,9.068,0,894.848,0,213,5.740,905.328,5.509,9.060,18,0,894.848,0,0,7.152,0
ABCP11,11/2019,10.819,1.045.508,0,5,12.703,0,1.021.481,0,1.497,7.595,1.037.912,6.011,12.698,87,0,1.021.481,0,0,11.324,0
ABCP11,11/2020,11.870,1.080.195,0,6,11.753,0,1.056.263,0,1.557,6.619,1.073.575,4.973,11.747,90,0,1.056.263,0,0,12.179,0
ABCP11,11/2022,15.976,1.130.276,0,10,21.562,0,1.090.903,0,1.592,9.686,1.120.590,8.000,21.552,93,0,1.090.903,0,0,17.811,0
ABCP11,11/2023,5.699,436.029,0,5,7.253,0,420.946,0,337,3.352,432.677,2.918,7.248,97,0,420.946,0,0,7.830,0
ABCP11,12/2017,9.669,791.913,0,379,6.626,0,774.051,0,213,8.650,783.263,8.371,6.247,66,0,774.051,0,0,11.236,0
ABCP11,12/2018,10.195,914.572,0,7,8.354,0,894.848,0,176,7.091,907.480,6.844,8.347,71,0,894.848,0,0,11.370,0
ABCP11,12/2019,14.126,1.048.888,0,11,12.322,0,1.021.481,0,1.573,7.689,1.041.199,6.013,12.311,104,0,1.021.481,0,0,15.085,0
ABCP11,12/2020,14.833,1.084.097,0,8,12.616,0,1.056.263,0,1.521,7.317,1.076.780,5.706,12.608,90,0,1.056.263,0,0,15.218,0
ABCP11,12/2021,20.043,1.132.142,0,10,17.635,0,1.093.309,0,1.547,9.424,1.122.718,7.789,17.624,88,0,1.093.309,0,0,21.198,0
ABCP11,12/2022,7.466,437.068,0,4.050,8.259,0,420.946,0,6.049,6.219,430.849,79,4.209,91,0,420.946,0,0,7.863,0
ABCP11,12/2023,7.342,481.681,0,5,7.775,0,465.436,0,412,3.671,478.010,3.162,7.770,97,0,465.436,0,0,8.471,0
ABCP11,2/2017,5.667,690.086,0,540,8.750,0,674.020,0,1.396,9.894,680.192,8.441,8.210,57,0,674.020,0,0,7.315,0
ABCP11,2/2018,6.154,790.059,0,499,8.070,0,774.051,0,213,5.163,784.896,4.884,7.572,65,0,774.051,0,0,7.938,0
ABCP11,2/2019,6.579,912.503,0,6,10.736,0,894.848,0,610,7.347,905.156,6.660,10.730,77,0,894.848,0,0,6.919,0
ABCP11,2/2020,9.987,1.045.099,0,10,13.418,0,1.021.481,0,1.318,7.436,1.037.663,6.016,13.408,102,0,1.021.481,0,0,10.199,0
ABCP11,2/2021,12.419,1.082.623,0,8,12.975,0,1.056.708,0,1.491,7.168,1.075.455,5.587,12.967,90,0,1.056.708,0,0,12.940,0
ABCP11,2/2022,15.226,1.127.662,0,10,17.444,0,1.093.309,0,1.189,7.465,1.120.197,6.189,17.434,87,0,1.093.309,0,0,16.909,0
ABCP11,2/2023,5.513,435.547,0,6,7.807,0,420.946,0,1.527,4.056,431.491,2.432,7.801,97,0,420.946,0,0,6.794,0
ABCP11,2/2024,5.360,479.943,0,5,7.477,0,465.436,0,298,2.853,477.090,2.458,7.472,97,0,465.436,0,0,7.029,0
ABCP11,3/2017,5.816,689.719,0,434,8.268,0,674.020,0,1.199,9.110,680.609,7.854,7.834,57,0,674.020,0,0,7.431,0
ABCP11,3/2018,6.095,790.095,0,472,8.116,0,774.051,0,213,5.169,784.926,4.890,7.643,65,0,774.051,0,0,7.928,0
ABCP11,3/2019,6.770,912.324,0,6,10.451,0,894.848,0,246,6.989,905.335,6.661,10.445,81,0,894.848,0,0,7.025,0
