Ticker,Title,Endereço,Bairro,Cidade,Área Bruta Locável
AGCX11,Caixa - Ipanema - Rio de Janeiro/RJ,Rua Visconde de Pirajá,Ipanema,Rio de Janeiro - RJ,"510,00 m2"
AGCX11,Santander - Candelária - Rio de Janeiro/RJ,Rua Buenos Aires,Centro,Rio de Janeiro - RJ,"1.040,00 m2"
AGCX11,Santander - Centro - São Gonçalo/RJ,Rua Doutor Feliciano Sodré,Centro,São Gonçalo - RJ,"951,00 m2"
AGCX11,- - Centro - Rio de Janeiro/RJ,Rua da Quitanda,Centro,Rio de Janeiro - RJ,"2.034,00 m2"
AGCX11,- - Centro Histórico - Porto Alegre/RS,Rua 7 de Setembro,Nova Esperança,Rio Branco - AC,"2.106,79 m2"
AGCX11,Santander - Ouvidor - Rio de Janeiro/RJ,Avenida Rio Branco,República,São Paulo - SP,"1.240,00 m2"
AGCX11,Caixa - Barra Funda - São Paulo/SP,Av. Rio Branco,,Rio Branco - AC,"1.293,02 m2"
AGCX11,GPA - Vila Rossi e Borchi - Campinas/SP,Avenida Barão de Itapura,Jardim Nossa Senhora Auxiliadora,Campinas - SP,"3.167,00 m2"
AGCX11,- - Monções - São Paulo/SP,Avenida Santo Amaro,Itaim Bibi,São Paulo - SP,"930,00 m2"
AGCX11,Caixa - Planalto Paulista - São Paulo/SP,Avenida Indianópolis,Moema,São Paulo - SP,"1.299,00 m2"
AGCX11,Caixa - Imperador - São Paulo/SP,Avenida do Imperador,Jardim da Paz,Magé - RJ,"1.024,80 m2"
AGCX11,Santander - Centro - Santo André/SP,Rua Senador Flaquer,Centro,Santo André - SP,"6.242,43 m2"
AGCX11,Caixa - Senador Queiroz - São Paulo/SP,Avenida Senador Queirós,República,São Paulo - SP,"1.446,96 m2"
AGCX11,Itaú - Leblon - Rio de Janeiro/RJ,Avenida Afrânio de Melo Franco,Leblon,Rio de Janeiro - RJ,"917,00 m2"
AGCX11,GPA - Pinheiros  - São Paulo/SP,Rua Alves Guimarães,Jardim Paulista,São Paulo - SP,"2.935,00 m2"
AGCX11,Caixa - Pinheiros - São Paulo/SP,Rua Marcelo C. Paes de Barros,Parque Residencial Itamaraty,Leme - SP,"909,60 m2"
AGCX11,Caixa - Bandeira - Rio de Janeiro/RJ,Rua Mariz e Barros,Praça da Bandeira,Rio de Janeiro - RJ,"1.339,00 m2"
AGCX11,Caixa - Guarapiranga - São Paulo/SP,Avenida de Pinedo,Socorro,São Paulo - SP,"1.312,18 m2"
AGCX11,Caixa - Recreio dos Bandeirantes - Rio de Janeiro/RJ,Avenida das Américas,Barra da Tijuca,Rio de Janeiro - RJ,"919,00 m2"
AGCX11,Caixa - Rio do A - Campo Grande/RJ,Estrada Rio Azul,,Barra do Rio Azul - RS,"571,41 m2"
AGCX11,Santander - Monsenhor Celso - Curitiba/PR,Rua Marechal Deodoro,Centro,Curitiba - PR,"2.182,85 m2"
AGCX11,Caixa - Taipas - São Paulo/SP,Estrada de Taipas,Jaraguá,São Paulo - SP,"1.335,10 m2"
AGCX11,Caixa - Meier - Rio de Janeiro/RJ,Rua Dias da Cruz,Méier,Rio de Janeiro - RJ,"1.483,53 m2"
AGCX11,Super Nosso - Centro - Belo Horizonte/MG,Avenida João Pinheiro,Lourdes,Belo Horizonte - MG,"4.193,00 m2"
AGCX11,Caixa - Nilo Peçanha - São Gonçalo/RJ,Rua Doutor Nilo Peçanha,Ingá,Niterói - RJ,"1.388,00 m2"
AGCX11,Santander - Paulista  - São Paulo/SP,Avenida Paulista,Bela Vista,São Paulo - SP,"2.857,24 m2"
AGCX11,Caixa - Leme - Rio de Janeiro/RJ,Rua Antônio Vieira,Leme,Rio de Janeiro - RJ,"696,80 m2"
AGCX11,Caixa - Pirituba - São Paulo/SP,Rua Guerino Giovani Leardini,Pirituba,São Paulo - SP,"1.368,00 m2"
AGCX11,Caixa - Guaianases - São Paulo/SP,Rua Salvador Gianeti,Guaianases,São Paulo - SP,"2.475,10 m2"
AGCX11,Santander - Liberdade - São Paulo/SP,Avenida Liberdade,Jardim Nova Santa Paula,São Carlos - SP,"5.001,70 m2"
AIEC11,Rochavera - Torre D,Avenida das Nações Unidas,,Avenida das Nações Unidas - SP,"14.648,00 m2"
AIEC11,Standard Building,Avenida Presidente Wilson,,Avenida Presidente Wilson - RJ,"8.341,00 m2"
ALMI11,Edificio Torre Almirante,Avenida Almirante Barroso,Centro,Rio de Janeiro - RJ,"43.444,45 m2"
ALZR11,Dasa - Ascendino Reis,Avenida Professor Ascendino Reis,Vila Clementino,São Paulo - SP,"2.283,66 m2"
ALZR11,BRF Bauru,Avenida Nações Unidas,Jardim Godoy,Bauru - SP,"3.627,00 m2"
ALZR11,Atento Del Castilho,Avenida Dom Helder Câmara,Del Castilho,Rio de Janeiro - RJ,"8.178,00 m2"
ALZR11,Decatlhon - Morumbi,Avenida Duquesa de Goiás,Real Parque,São Paulo - SP,"28.500,00 m2"
ALZR11,BRF Guarulhos,Rua Barão de Penedo,Cumbica,Guarulhos - SP,"3.459,00 m2"
ALZR11,Dasa - Sumare,Avenida Sumaré,Perdizes,São Paulo - SP,"5.227,43 m2"
ALZR11,Galpao Femsa,Avenida dos Estados,Vila Metalúrgica,Santo André - SP,"36.740,00 m2"
ALZR11,Editora Moderna Santillana - Belenzinho,Rua Padre Adelino,Quarta Parada,São Paulo - SP,"9.260,00 m2"
ALZR11,Air Liquide - Galpao Vila Carioca,Avenida Carioca,Ipiranga,São Paulo - SP,"5.008,00 m2"
ALZR11,Imovel Globo - Jardim Botanico,Rua Pacheco Leão,Jardim Botânico,Rio de Janeiro - RJ,"3.815,52 m2"
ALZR11,Bauducco - Guarulhos,Rua São João,Vila Augusta,Guarulhos - SP,"11.832,59 m2"
